"","Report_Year","NeighbourhoodName","Premises_Type"
"594",2014,"University","Outside"
"595",2014,"Cabbagetown-South St.James Town","Outside"
"596",2014,"Bendale","Other"
"597",2014,"High Park-Swansea","House"
"598",2014,"Waterfront Communities-The Island","Apartment"
"599",2014,"Moss Park","Outside"
"600",2014,"North St.James Town","Outside"
"601",2014,"Humbermede","Other"
"602",2014,"Highland Creek","Educational"
"603",2014,"University","House"
"604",2014,"High Park-Swansea","Outside"
"605",2014,"OConnor-Parkview","Outside"
"606",2014,"Bay Street Corridor","Outside"
"607",2014,"LAmoreaux","House"
"608",2014,"Moss Park","Outside"
"609",2014,"Malvern","Educational"
"610",2014,"Church-Yonge Corridor","Outside"
"611",2014,"Church-Yonge Corridor","Outside"
"612",2014,"Kingsway South","Outside"
"613",2014,"Humber Summit","Outside"
"614",2014,"Bay Street Corridor","Other"
"615",2014,"Thorncliffe Park","Outside"
"616",2014,"Casa Loma","House"
"617",2014,"Lansing-Westgate","Outside"
"618",2014,"Bay Street Corridor","Outside"
"619",2014,"Rosedale-Moore Park","Other"
"620",2014,"Old East York","House"
"621",2014,"Edenbridge-Humber Valley","House"
"622",2014,"South Parkdale","Apartment"
"623",2014,"University","Educational"
"624",2014,"NSA","Other"
"625",2014,"Cliffcrest","Educational"
"626",2014,"Rockcliffe-Smythe","Apartment"
"627",2014,"Annex","Commercial"
"628",2014,"Cabbagetown-South St.James Town","House"
"629",2014,"Mimico","House"
"630",2014,"Bay Street Corridor","Commercial"
"631",2014,"Bay Street Corridor","Outside"
"632",2014,"Niagara","House"
"633",2014,"Forest Hill South","Other"
"634",2014,"Bay Street Corridor","Outside"
"635",2014,"Forest Hill North","House"
"636",2014,"Kingsway South","House"
"637",2014,"North St.James Town","Commercial"
"638",2014,"Bay Street Corridor","Other"
"639",2014,"Moss Park","Outside"
"640",2014,"North St.James Town","Commercial"
"641",2014,"Bay Street Corridor","Commercial"
"642",2014,"Waterfront Communities-The Island","Educational"
"643",2014,"Moss Park","Outside"
"644",2014,"Newtonbrook West","House"
"645",2014,"Moss Park","Commercial"
"646",2014,"Bay Street Corridor","Outside"
"647",2014,"Playter Estates-Danforth","Outside"
"648",2014,"South Parkdale","Apartment"
"649",2014,"Niagara","Outside"
"650",2014,"Church-Yonge Corridor","Commercial"
